,start_value,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,std_p1,std_p2,std_p3,std_p4,std_p5,std_p6,std_p7,std_p8,std_p9,std_p10,rss
29,29,0.462022152,0.465293671,1,0.177012457,0,0,0.184081919,0,0,0,0.074639522,0.096891602,0.041989665,0.055701913,0.114111983,0.041449757,0.024087617,0.096959181,0.106980609,0.101472569,10.02314832
30,30,0.462008256,0.46551847,1,0.176993745,0,0,0.184110089,0,0,0,0.07464586,0.09689983,0.041993231,0.055706642,0.114121673,0.041453277,0.024089663,0.096967414,0.106989694,0.101481186,10.02485066
31,31,0.461994333,0.465752457,1,0.176974364,0,0,0.184141417,0,0,0,0.0746525,0.096908451,0.041996966,0.055711598,0.114131825,0.041456964,0.024091806,0.096976039,0.10699921,0.101490213,10.02663418
32,32,0.461980389,0.465995915,1,0.176954273,0,0,0.184176169,0,0,0,0.074659455,0.096917479,0.042000879,0.055716788,0.114142457,0.041460826,0.02409405,0.096985074,0.107009179,0.101499668,10.02850246
33,33,0.461966408,0.466249189,1,0.176933428,0,0,0.184214621,0,0,0,0.074666739,0.096926935,0.042004977,0.055722225,0.114153595,0.041464872,0.024096401,0.096994537,0.10701962,0.101509572,10.0304596
34,34,0.461697801,0.466570732,1,0.176838203,0,0,0.18384206,0,0,0,0.074670577,0.096931918,0.042007136,0.055725089,0.114159463,0.041467003,0.02409764,0.096999523,0.107025121,0.10151479,10.03149089
35,35,0.463066775,0.463830321,1,0.177399346,0,0,0.18543557,0,0,0,0.074618723,0.096864603,0.041977964,0.055686391,0.114080185,0.041438207,0.024080905,0.096932162,0.106950798,0.101444294,10.01756302
36,36,0.462935553,0.463648166,1,0.177360697,0,0,0.185193408,0,0,0,0.074610694,0.096854181,0.041973448,0.0556804,0.11406791,0.041433748,0.024078314,0.096921733,0.106939291,0.101433378,10.01540745
37,37,0.461683043,0.46678458,1,0.176821177,0,0,0.183856602,0,0,0,0.074676524,0.096939637,0.042010481,0.055729527,0.114168554,0.041470306,0.024099559,0.097007248,0.107033644,0.101522874,10.03308866
38,38,0.463029342,0.463860424,1,0.1773775,0,0,0.185449343,0,0,0,0.074619686,0.096865854,0.041978506,0.05568711,0.114081657,0.041438741,0.024081216,0.096933413,0.106952178,0.101445602,10.01782154
39,39,0.462994208,0.463997767,1,0.177349308,0,0,0.185482672,0,0,0,0.074623734,0.096871109,0.041980783,0.055690131,0.114087846,0.041440989,0.024082522,0.096938671,0.10695798,0.101451106,10.01890851
40,40,0.46190415,0.467038006,1,0.176853151,0,0,0.184379757,0,0,0,0.074690142,0.096957315,0.042018143,0.05573969,0.114189374,0.041477868,0.024103954,0.097024939,0.107053164,0.101541389,10.03674843
41,41,0.46295427,0.464067684,1,0.177325029,0,0,0.185493182,0,0,0,0.074625703,0.096873666,0.041981892,0.055691601,0.114090858,0.041442083,0.024083158,0.09694123,0.106960804,0.101453784,10.01943748
42,42,0.462913355,0.464155608,1,0.177299756,0,0,0.185502125,0,0,0,0.074628129,0.096876814,0.041983256,0.055693411,0.114094566,0.04144343,0.024083941,0.096944381,0.10696428,0.101457081,10.02008876
43,43,0.461862126,0.4673762,1,0.176814795,0,0,0.184435847,0,0,0,0.074700045,0.096970171,0.042023714,0.055747081,0.114204515,0.041483368,0.02410715,0.097037803,0.107067358,0.101554852,10.03941012
44,44,0.462871639,0.464260777,1,0.177273575,0,0,0.185509662,0,0,0,0.074630993,0.096880532,0.041984867,0.055695548,0.114098945,0.041445021,0.024084865,0.096948102,0.106968385,0.101460975,10.02085792
45,45,0.461615828,0.467957027,1,0.17672163,0,0,0.18405147,0,0,0,0.074710848,0.096984193,0.042029791,0.055755142,0.114221029,0.041489367,0.024110636,0.097051835,0.10708284,0.101569537,10.04231383
46,46,0.461816269,0.467730884,1,0.176773623,0,0,0.184497032,0,0,0,0.074710502,0.096983744,0.042029596,0.055754884,0.114220501,0.041489175,0.024110524,0.097051386,0.107082345,0.101569067,10.04222091
47,47,0.462829287,0.464382426,1,0.177246584,0,0,0.185515951,0,0,0,0.07463428,0.096884799,0.041986716,0.055698001,0.114103969,0.041446846,0.024085926,0.096952371,0.106973096,0.101465443,10.02174053
48,48,0.462597129,0.465998191,1,0.17710857,0,0,0.185346614,0,0,0,0.074675036,0.096937706,0.042009644,0.055728416,0.114166279,0.041469479,0.024099079,0.097005315,0.107031512,0.101520852,10.03268888
49,49,0.461604829,0.468203804,1,0.176701893,0,0,0.184095755,0,0,0,0.074718173,0.096993701,0.042033911,0.055760608,0.114232228,0.041493434,0.024113,0.097061351,0.107093339,0.101579496,10.04428312
50,50,0.462786476,0.464519736,1,0.177218878,0,0,0.185521145,0,0,0,0.07463797,0.09688959,0.041988792,0.055700755,0.114109612,0.041448896,0.024087117,0.096957166,0.106978386,0.101470461,10.02273178
51,51,0.4627818,0.46453558,1,0.177215827,0,0,0.185521651,0,0,0,0.074638396,0.096890142,0.041989032,0.055701072,0.114110262,0.041449132,0.024087254,0.096957718,0.106978996,0.101471039,10.02284594
52,52,0.462561742,0.466009451,1,0.177088464,0,0,0.185357373,0,0,0,0.074675472,0.096938272,0.042009889,0.055728742,0.114166946,0.041469722,0.024099219,0.097005881,0.107032137,0.101521444,10.03280603
53,53,0.461766024,0.468103454,1,0.176729289,0,0,0.18456373,0,0,0,0.074721562,0.096998102,0.042035818,0.055763138,0.114237409,0.041495317,0.024114093,0.097065753,0.107098197,0.101584103,10.04519427
54,54,0.462752852,0.464637223,1,0.177196827,0,0,0.185524537,0,0,0,0.07464112,0.096893678,0.041990564,0.055703106,0.114114427,0.041450645,0.024088133,0.096961257,0.1069829,0.101474742,10.0235776
55,55,0.462743373,0.464671828,1,0.177190565,0,0,0.185525398,0,0,0,0.074642047,0.096894881,0.041991085,0.055703797,0.114115844,0.041451159,0.024088432,0.096962461,0.106984228,0.101476002,10.02382649
56,56,0.462059784,0.468242676,1,0.176833122,0,0,0.184568843,0,0,0,0.074725547,0.097003276,0.04203806,0.055766112,0.114243503,0.04149753,0.02411538,0.097070931,0.10710391,0.101589522,10.04626602
57,57,0.462064608,0.468239388,1,0.176834859,0,0,0.184574022,0,0,0,0.074725527,0.097003249,0.042038049,0.055766097,0.114243472,0.041497519,0.024115373,0.097070904,0.10710388,0.101589494,10.04626048
58,58,0.462015499,0.4682764,1,0.176816911,0,0,0.184521595,0,0,0,0.074725839,0.097003653,0.042038224,0.055766329,0.114243948,0.041497692,0.024115474,0.097071309,0.107104327,0.101589917,10.04634426
59,59,0.462012237,0.468279126,1,0.176815704,0,0,0.184518127,0,0,0,0.074725867,0.09700369,0.04203824,0.055766351,0.114243992,0.041497707,0.024115483,0.097071346,0.107104368,0.101589956,10.04635187
60,60,0.462005657,0.468284835,1,0.176813266,0,0,0.18451117,0,0,0,0.07472593,0.097003772,0.042038276,0.055766398,0.114244088,0.041497742,0.024115503,0.097071428,0.107104458,0.101590042,10.04636891
61,61,0.46210485,0.468215194,1,0.176849131,0,0,0.184617572,0,0,0,0.074725449,0.097003149,0.042038005,0.055766039,0.114243353,0.041497476,0.024115348,0.097070803,0.107103769,0.101589388,10.04623959
62,62,0.462115258,0.468209905,1,0.176852753,0,0,0.184628924,0,0,0,0.074725457,0.097003158,0.042038009,0.055766044,0.114243365,0.04149748,0.02411535,0.097070813,0.10710378,0.101589399,10.0462417
63,63,0.461975692,0.468311331,1,0.176801443,0,0,0.184482281,0,0,0,0.074726269,0.097004213,0.042038466,0.055766651,0.114244607,0.041497931,0.024115613,0.097071869,0.107104945,0.101590503,10.04646019
64,64,0.462734697,0.464704099,1,0.177184812,0,0,0.18552615,0,0,0,0.074642911,0.096896002,0.041991571,0.055704441,0.114117164,0.041451639,0.024088711,0.096963583,0.106985466,0.101477176,10.0240585
65,65,0.461971706,0.46831504,1,0.176799861,0,0,0.184478459,0,0,0,0.07472632,0.097004279,0.042038495,0.055766688,0.114244685,0.041497959,0.024115629,0.097071935,0.107105017,0.101590572,10.04647377
66,66,0.462150549,0.468195027,1,0.176864825,0,0,0.184667744,0,0,0,0.074725573,0.097003309,0.042038074,0.055766131,0.114243542,0.041497544,0.024115388,0.097070964,0.107103946,0.101589556,10.04627277
67,67,0.462164309,0.468190606,1,0.176869437,0,0,0.18468302,0,0,0,0.074725658,0.097003418,0.042038122,0.055766194,0.114243672,0.041497591,0.024115415,0.097071074,0.107104068,0.101589672,10.04629564
68,68,0.462196752,0.468183223,1,0.176880098,0,0,0.184719364,0,0,0,0.074725946,0.097003794,0.042038285,0.05576641,0.114244113,0.041497752,0.024115509,0.097071449,0.107104482,0.101590064,10.04637333
69,69,0.462211888,0.468181397,1,0.176884962,0,0,0.184736498,0,0,0,0.074726128,0.097004029,0.042038387,0.055766546,0.114244391,0.041497853,0.024115567,0.097071686,0.107104742,0.101590312,10.04642224
70,70,0.462243349,0.468180776,1,0.176894854,0,0,0.184772468,0,0,0,0.074726599,0.097004641,0.042038652,0.055766896,0.114245111,0.041498114,0.024115719,0.097072297,0.107105417,0.101590951,10.04654878
71,71,0.462721873,0.464752744,1,0.177176276,0,0,0.185527205,0,0,0,0.074644212,0.096897692,0.041992304,0.055705414,0.114119154,0.041452362,0.024089131,0.096965274,0.106987332,0.101478946,10.02440813
72,72,0.462290258,0.468188679,1,0.176908992,0,0,0.184827143,0,0,0,0.074727559,0.097005887,0.042039192,0.055767613,0.114246578,0.041498647,0.024116029,0.097073544,0.107106793,0.101592256,10.04680683
73,73,0.46271134,0.464793577,1,0.17716924,0,0,0.185528025,0,0,0,0.074645304,0.09689911,0.041992918,0.055706229,0.114120825,0.041452969,0.024089484,0.096966693,0.106988898,0.101480432,10.02470154
74,74,0.462337417,0.468207892,1,0.176922438,0,0,0.184883516,0,0,0,0.074728854,0.097007568,0.04203992,0.055768579,0.114248559,0.041499366,0.024116447,0.097075226,0.107108649,0.101594017,10.04715513
75,75,0.462700114,0.464837974,1,0.177161712,0,0,0.185528852,0,0,0,0.074646492,0.096900652,0.041993587,0.055707115,0.11412264,0.041453628,0.024089867,0.096968235,0.1069906,0.101482046,10.0250205
76,76,0.463326136,0.467765867,1,0.177334769,0,0,0.185597563,0,0,0,0.074726727,0.097004806,0.042038724,0.055766992,0.114245306,0.041498185,0.02411576,0.097072462,0.1071056,0.101591124,10.04658302
77,77,0.462384497,0.468233821,1,0.176935185,0,0,0.184941403,0,0,0,0.074730357,0.097009519,0.042040766,0.055769701,0.114250856,0.041500201,0.024116932,0.097077178,0.107110803,0.10159606,10.04755914
78,78,0.463272765,0.468067317,1,0.177302986,0,0,0.185555352,0,0,0,0.07473441,0.09701478,0.042043046,0.055772726,0.114257053,0.041502452,0.02411824,0.097082444,0.107116613,0.101601571,10.04864919
79,79,0.463224597,0.468340925,1,0.177272941,0,0,0.18552526,0,0,0,0.074741519,0.097024008,0.042047045,0.055778031,0.114267921,0.041506399,0.024120534,0.097091678,0.107126801,0.101611235,10.05056088
80,80,0.463180598,0.468592546,1,0.177244445,0,0,0.185504216,0,0,0,0.074748165,0.097032637,0.042050784,0.055782991,0.114278082,0.04151009,0.024122679,0.097100312,0.107136328,0.101620271,10.05234848
81,81,0.463139931,0.468827378,1,0.177217103,0,0,0.185490633,0,0,0,0.074754467,0.097040818,0.04205433,0.055787694,0.114287717,0.04151359,0.024124713,0.097108499,0.10714536,0.101628839,10.0540436
82,82,0.463101766,0.469047882,1,0.177190798,0,0,0.18548232,0,0,0,0.07476046,0.097048597,0.042057701,0.055792166,0.114296879,0.041516918,0.024126647,0.097116283,0.10715395,0.101636985,10.0556556
83,83,0.462012581,0.469595971,1,0.176662807,0,0,0.185477646,0,0,0,0.074775276,0.09706783,0.042066036,0.055803223,0.114319531,0.041525146,0.024131428,0.09713553,0.107175186,0.101657128,10.05964178
84,84,0.46203135,0.46967318,1,0.176661797,0,0,0.185519449,0,0,0,0.074778018,0.097071389,0.042067578,0.05580527,0.114323722,0.041526669,0.024132313,0.097139092,0.107179116,0.101660856,10.06037949
85,85,0.462049477,0.469763405,1,0.176659677,0,0,0.185562612,0,0,0,0.074781146,0.09707545,0.042069338,0.055807604,0.114328505,0.041528406,0.024133322,0.097143155,0.107183599,0.101665108,10.06122115
86,86,0.462066954,0.46986583,1,0.176656446,0,0,0.185607277,0,0,0,0.074784641,0.097079986,0.042071304,0.055810212,0.114333847,0.041530346,0.02413445,0.097147695,0.107188608,0.101669859,10.0621615
87,87,0.46174537,0.471640328,1,0.176493796,0,0,0.184878369,0,0,0,0.074824636,0.097131905,0.042093804,0.05584006,0.114394994,0.041552557,0.024147357,0.09719965,0.107245933,0.101724233,10.07292705
88,88,0.459525245,0.472227376,1,0.175555164,0,0,0.184574497,0,0,0,0.074836581,0.097147412,0.042100524,0.055848974,0.114413256,0.041559191,0.024151213,0.097215167,0.107263054,0.101740472,10.07614342
89,89,0.459541759,0.47228215,1,0.17556399,0,0,0.18457213,0,0,0,0.07483812,0.097149409,0.04210139,0.055850122,0.114415609,0.041560045,0.024151709,0.097217166,0.10726526,0.101742565,10.07655781
90,90,0.461654213,0.471965933,1,0.176385836,0,0,0.185624574,0,0,0,0.074844222,0.09715733,0.042104822,0.055854676,0.114424937,0.041563434,0.024153678,0.097225093,0.107274005,0.10175086,10.07820099
91,91,0.461656593,0.472244292,1,0.176391108,0,0,0.185232864,0,0,0,0.07484673,0.097160586,0.042106233,0.055856548,0.114428772,0.041564827,0.024154488,0.097228351,0.1072776,0.10175427,10.07887647
92,92,0.46166282,0.472027838,1,0.176390989,0,0,0.185593846,0,0,0,0.074845565,0.097159074,0.042105578,0.055855679,0.114426991,0.04156418,0.024154112,0.097226838,0.107275931,0.101752686,10.0785628
93,93,0.461555214,0.471982045,1,0.176324362,0,0,0.185730914,0,0,0,0.074846148,0.09715983,0.042105906,0.055856113,0.114427881,0.041564503,0.0241543,0.097227594,0.107276765,0.101753478,10.0787196
94,94,0.461823834,0.472226531,1,0.176450676,0,0,0.185418455,0,0,0,0.074848862,0.097163353,0.042107433,0.055858139,0.114432031,0.04156601,0.024155176,0.09723112,0.107280656,0.101757168,10.07945064
95,95,0.461599955,0.472041233,1,0.176331878,0,0,0.185814448,0,0,0,0.074849041,0.097163585,0.042107533,0.055858272,0.114432305,0.04156611,0.024155233,0.097231352,0.107280912,0.101757411,10.07949883
96,96,0.461628448,0.472137094,1,0.176331291,0,0,0.18588924,0,0,0,0.074852862,0.097168546,0.042109683,0.055861124,0.114438147,0.041568232,0.024156467,0.097236316,0.107286389,0.101762606,10.080528
97,97,0.462109605,0.473621824,1,0.176491239,0,0,0.185835457,0,0,0,0.074895185,0.097223488,0.042133493,0.055892709,0.114502853,0.041591736,0.024170125,0.097291296,0.107347052,0.101820145,10.09193083
98,98,0.462030304,0.473678531,1,0.176434586,0,0,0.185980771,0,0,0,0.074898894,0.097228301,0.042135579,0.055895477,0.114508522,0.041593795,0.024171322,0.097296114,0.107352367,0.101825186,10.09293021
99,99,0.461953701,0.474101344,1,0.176416643,0,0,0.185648679,0,0,0,0.074906449,0.097238109,0.042139829,0.055901115,0.114520073,0.04159799,0.02417376,0.097305928,0.107363195,0.101835458,10.09496644
100,100,0.461828425,0.474753872,1,0.176336006,0,0,0.185556677,0,0,0,0.074924225,0.097261185,0.04214983,0.055914381,0.11454725,0.041607862,0.024179497,0.09732902,0.107388674,0.101859625,10.0997584
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1%,,,,,,,,,,
