Peak Age

Wynyard Formation
376,565,670,741,1011,1079,1188,1438,1623,1730,1785,1858,2287
22,49,20,11,56,55,33,14,13,25,56,15,12
Devonian-Carboniferous Granitoids
370
57
Mount Read Volcanics
502,1774
77,17
Luina Group
561,631,1100,1151
18,12,18,10
Crimson Creek Formation
666
236
Arthur Lineament
1082,1193,1250,1330,1400,1471,1604,1687,1806,1870
18,52,40,38,60,87,25,24,38,19
Oonah Formation
1051,1436,1592,1715,1793,1868
13,12,11,32,41,16
Wings Sandstone
1474,1628,1726,1803
14,21,21,32
Rocky Cape Group
1211,1280,1370,1479,1553,1649,1790,1842
19,39,33,46,58,93,130,98
Tyennan Element
1076,1183,1281,1337,1406,1786,1866
26,23,17,26,19,60,17
Forest Conglomerant (Togari Group)
1636,1728,1791,1869
10,20,49,11
