
Similarity
Label,n,Wynyard Formation,Devonian-Carboniferous Granitoids,Mount Read Volcanics,Oonah Formation,Luina Group,Crimson Creek Formation,Arthur Lineament,Success Creek Group,Wings Sandstone,Rocky Cape Group,Tyennan Element,Forest Conglomerant (Togari Group),Stitt Quartzite
Stitt Quartzite,35,0.6615535407988238,0.948051948051948,0.6221638655462184,0.5107769423558898,0.7234946871310508,0.9605263157894737,0.23154093097913325,0.35,0.597444831591173,0.4124223602484471,0.6442460317460318,0.5532467532467533,0.0

Cross-correlation of kernal density estimation
Label,n,Wynyard Formation,Devonian-Carboniferous Granitoids,Mount Read Volcanics,Oonah Formation,Luina Group,Crimson Creek Formation,Arthur Lineament,Success Creek Group,Wings Sandstone,Rocky Cape Group,Tyennan Element,Forest Conglomerant (Togari Group),Stitt Quartzite
Wynyard Formation,583,1.0,0.03508367151470004,0.055027724225599844,0.21517316263390263,0.5384016842514051,0.034496444835820844,0.0582004731543546,0.08616023392455191,0.1371602203795505,0.0922376241578786,0.11867639538191012,0.14216200389233322,1.0560437553534267e-05
Devonian-Carboniferous Granitoids,77,0.03508367151470004,1.0,0.00016553949576934745,0.0006984029016139481,0.0009482488219772349,0.00021187997908912463,0.0015119606025144037,0.0016018815589715558,0.0007006287949807987,0.0014977175414318926,0.0007766900194586163,0.0008556381133048449,0.001078946252339334
Mount Read Volcanics,272,0.055027724225599844,0.00016553949576934745,1.0,0.009624204639065465,1.2421650654827485e-05,0.000309587981035542,0.006899111384725683,0.008345090651573305,0.00039291833066482334,0.009677934843657511,0.007635392742741311,0.006632711913174893,0.003523029475469995
Oonah Formation,285,0.21517316263390263,0.0006984029016139481,0.009624204639065465,1.0,0.044098555796057474,3.728668693724715e-05,0.21415882950354853,0.6388849561322871,0.007359520009210395,0.7451253420383418,0.8638954437937557,0.8405404971187922,0.04191170675100231
Luina Group,121,0.5384016842514051,0.0009482488219772349,1.2421650654827485e-05,0.044098555796057474,1.0,0.043684997621983815,0.023862175773209694,0.008995752928490931,0.05073217240661267,0.007717376813724188,0.01492016371971294,0.017461280329156288,0.000249248417079976
Crimson Creek Formation,304,0.034496444835820844,0.00021187997908912463,0.000309587981035542,3.728668693724715e-05,0.043684997621983815,1.0,0.0022848907305634413,0.0011722475565211184,0.0017639529457926736,0.0011104345197297124,0.00045015805236611766,0.0004058411744936097,0.0018473975651654645
Arthur Lineament,356,0.0582004731543546,0.0015119606025144037,0.006899111384725683,0.21415882950354853,0.023862175773209694,0.0022848907305634413,1.0,0.448597972232091,0.23340510496670858,0.38386895702350565,0.22488694781612575,0.2159805501455117,0.251538821947993
Success Creek Group,132,0.08616023392455191,0.0016018815589715558,0.008345090651573305,0.6388849561322871,0.008995752928490931,0.0011722475565211184,0.448597972232091,1.0,0.00945858860960886,0.8306032444761638,0.6230151465004584,0.6722134676630188,0.16010050844669313
Wings Sandstone,123,0.1371602203795505,0.0007006287949807987,0.00039291833066482334,0.007359520009210395,0.05073217240661267,0.0017639529457926736,0.23340510496670858,0.00945858860960886,1.0,0.008608924697379314,0.002854304911922872,0.0021660736090677365,0.09186002566051488
Rocky Cape Group,805,0.0922376241578786,0.0014977175414318926,0.009677934843657511,0.7451253420383418,0.007717376813724188,0.0011104345197297124,0.38386895702350565,0.8306032444761638,0.008608924697379314,1.0,0.74003289744787,0.7191947176909771,0.17497370432919138
Tyennan Element,144,0.11867639538191012,0.0007766900194586163,0.007635392742741311,0.8638954437937557,0.01492016371971294,0.00045015805236611766,0.22488694781612575,0.6230151465004584,0.002854304911922872,0.74003289744787,1.0,0.8705573498050315,0.04567199180789219
Forest Conglomerant (Togari Group),231,0.14216200389233322,0.0008556381133048449,0.006632711913174893,0.8405404971187922,0.017461280329156288,0.0004058411744936097,0.2159805501455117,0.6722134676630188,0.0021660736090677365,0.7191947176909771,0.8705573498050315,1.0,0.03640216191932931
Stitt Quartzite,35,1.0560437553534267e-05,0.001078946252339334,0.003523029475469995,0.04191170675100231,0.000249248417079976,0.0018473975651654645,0.251538821947993,0.16010050844669313,0.09186002566051488,0.17497370432919138,0.04567199180789219,0.03640216191932931,1.0
